Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2018,New York,NY,6414,1215,300,556,653,733,866,868,1222
2018,Northern Plains,MT,1073,549,46,52,62,74,104,86,100
2018,Northern Plains,ND,1470,54,72,115,167,232,240,269,321
2018,Northern Plains,SD,504,17,43,75,66,69,70,72,92
2018,Northern Plains,WY,450,127,26,47,50,53,56,45,46
2018,Pacific,AK,2013,955,69,116,135,145,159,171,263
2018,Pacific,CA,3224,1234,116,187,240,318,426,398,305
2018,Pacific,HI,38,19,1,0,0,5,5,4,4
2018,Pacific,NV,204,86,5,10,14,21,32,24,12
2018,Pacific,OR,338,162,6,14,34,38,30,26,28
2018,Pacific,WA,1365,565,39,61,104,129,140,153,174
2018,Rocky Mountain,AZ,764,210,28,52,74,87,125,106,82
2018,Rocky Mountain,CO,2788,1294,99,165,201,271,293,282,183
2018,Rocky Mountain,ID,778,341,29,48,68,66,72,74,80
2018,Rocky Mountain,NM,220,65,11,14,20,31,25,25,29
2018,Rocky Mountain,OK,82,11,1,1,8,18,17,12,14
2018,Rocky Mountain,TX,995,392,31,55,78,98,127,108,106
2018,Rocky Mountain,UT,549,283,26,68,38,45,31,33,25
2018,Southeastern,AL,235,67,5,7,15,21,35,39,46
2018,Southeastern,AR,37,5,0,1,0,3,12,8,8
2018,Southeastern,DC,287,78,6,10,23,26,29,30,85
2018,Southeastern,FL,1032,423,36,66,87,90,107,142,81
2018,Southeastern,GA,176,53,14,21,18,21,16,18,15
2018,Southeastern,LA,39,7,3,4,1,7,2,5,10
2018,Southeastern,MD,1472,449,95,164,159,162,186,146,111
2018,Southeastern,MS,23,4,0,0,0,4,4,9,2
2018,Southeastern,NC,734,210,30,41,63,79,114,110,87
2018,Southeastern,SC,138,45,1,10,18,18,21,12,13
2018,Southeastern,TN,326,102,12,19,20,32,43,44,54
2018,Southeastern,VA,971,273,42,82,97,120,155,120,82
2018,All,USA,82808,19118,3599,6107,8659,10384,11472,11230,12239
2019,Atlantic,DE,112,40,4,8,10,11,22,12,5
2019,Atlantic,E PA,1813,544,143,231,232,192,203,160,108
2019,Atlantic,NJ,1965,320,90,175,273,277,317,312,201
2019,Central,IL,3292,817,199,396,367,413,467,346,287
2019,Central,IA,373,66,19,19,28,46,76,67,52
2019,Central,KS,142,55,6,6,17,21,15,12,10
2019,Central,MO,981,160,40,55,98,119,150,187,172
2019,Central,NE,216,35,10,25,32,37,28,27,22
2019,Central,WI,4361,794,130,194,395,563,633,669,983
2019,Massachusetts,MA,11154,1568,667,1147,1411,1528,1656,1470,1707
2019,Michigan,MI,5403,1898,276,364,461,480,601,595,728
2019,Mid-American,IN,550,121,18,44,77,85,71,69,65
2019,Mid-American,KY,153,49,5,7,17,10,28,19,18
2019,Mid-American,OH,1366,353,52,94,139,179,206,194,149
2019,Mid-American,W PA,1368,233,90,119,156,176,234,199,161
2019,Mid-American,WV,114,24,6,6,19,13,16,9,21
2019,Minnesota,MN,14392,1952,435,785,1552,2269,2428,2361,2610
2019,New England,CT,2719,262,136,295,347,441,409,401,428
2019,New England,ME,1256,141,37,90,147,167,151,211,312
2019,New England,NH,1084,154,47,103,124,139,164,143,210
2019,New England,RI,659,113,15,41,77,81,99,84,149
2019,New England,VT,1195,145,47,74,158,190,164,156,261
2019,New York,NY,6348,1025,310,541,636,766,904,888,1278
2019,Northern Plains,MT,1079,551,42,54,60,87,90,82,113
